Title,URL,Author,Date,Playbacks,Flash_comments,Duration,date_of_scraping
五百万人观看姜萍阿里决赛！！！姜萍终于证明了自己！！！！,https://www.bilibili.com/video/BV1sT421a7xE/,热门追踪后续,· 6-23,41.8万,23,03:11,2024/06/26
姜萍采访完整版（5分38秒）,https://www.bilibili.com/video/BV1LW421R7R7/,吾吾Official,· 6-19,15.7万,919,05:39,2024/06/26
最新姜萍视频流出！决赛后已回学校!正常读书，大老板也来了，狂送姜萍父亲五千块钱和两头大铁牛！,https://www.bilibili.com/video/BV1fE421P7sp/,甄机坊,· 6-25,4.3万,21,01:56,2024/06/26
最新速报！姜萍事件当事人出来拍视频证明清白！王闰秋被阿里找上门了！,https://www.bilibili.com/video/BV1Wz4218785/,最新速报,· 6-21,2.6万,3,00:39,2024/06/26
姜萍事件最新长文：贫困生用苹果X、记笔记只会二次函数！,https://www.bilibili.com/video/BV1tf421Q7wq/,最新速报,· 6-21,14.7万,65,02:12,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1Sm42137Xb/,甄机坊,· 6-25,11.4万,47,08:21,2024/06/26
逆天笑话，数学天才变学术妲己？姜萍作弊传言愈演愈烈，Σ写错师生恋谣言,https://www.bilibili.com/video/BV1cS411A7PT/,铖糯,· 6-19,7.4万,42,02:23,2024/06/26
姜萍反转，对线黑子【MVP结算】剑桥哥，你的互联网最佳嘴替,https://www.bilibili.com/video/BV14E421A7vZ/,世界记忆冠军大卫哥,· 6-19,33.7万,779,03:28,2024/06/26
彻底结束!!姜萍学校附近知情人士匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1JM4m1m7X1/,是绅士汤呀,· 6-25,5万,28,08:24,2024/06/26
卧槽! 姜萍数学竞赛出题人，曾是电竞选手! 小说爽文照进现实太抽象了!,https://www.bilibili.com/video/BV1Rx4y1b7fL/,娱乐万花筒呀,· 6-24,4.1万,5,01:46,2024/06/26
姜萍事件最新消息，已有正义之光去12339跟12345举报投诉了！真象即将大白,https://www.bilibili.com/video/BV1Nx4y1t71W/,综艺娱乐官方,· 11小时前,5284,0,02:31,2024/06/26
